actor,awards,major,media_info,metacritic,score,title,years
Josh Holloway,No Awards,Major Role,94 min                 - Crime|Drama|Horror                 -              16 May 2007(Philippines),No Metacritic,5.8,Whisper,(2007)
Josh Holloway,"3 nominations.

See more awards »",Major Role,Video Game                         - Action|Sci-Fi                 -              28 March 2007(USA),No Metacritic,8.4,Command & Conquer 3: Tiberium Wars,(2007)
Josh Holloway,No Awards,Not Major Role,TV Series                                     -                             30 min                 - Comedy,No Metacritic,7.5,Good Girls Don't...,(2004– )
Josh Holloway,"Nominated for 3 Primetime Emmys.
Another 17 wins & 25 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 60 min                 - Action|Comedy|Crime,No Metacritic,8.0,NCIS,(2003– )
Josh Holloway,"1 nomination.

See more awards »",Not Major Role,TV Series                                     -                             60 min                 - Drama,No Metacritic,6.3,The Lyon's Den,(2003–2004)
Josh Holloway,"Nominated for 6 Golden Globes.
Another 62 wins & 112 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 60 min                 - Crime|Drama|Mystery,No Metacritic,7.8,CSI: Crime Scene Investigation,(2000– )
Josh Holloway,No Awards,Major Role,90 min                 - Comedy                 -              2 May 2003(USA),No Metacritic,7.0,Dr. Benny,(2003)
Josh Holloway,No Awards,Major Role,TV Movie                     -                                 90 min                 - Action|Adventure|Horror                 -              23 March 2004(Netherlands),No Metacritic,3.3,Sabretooth,(2002)
Josh Holloway,No Awards,Not Major Role,92 min                 - Drama                 -              22 October 2002(Germany),No Metacritic,7.4,Against All Evidence,(2002)
Josh Holloway,No Awards,Major Role,89 min                 - Comedy|Western                 -              April 2002(USA),No Metacritic,4.0,Mi amigo,(2002)
Josh Holloway,No Awards,Major Role,96 min                 - Comedy                 -              25 February 2002(USA),No Metacritic,6.4,Moving August,(2002)
Josh Holloway,"Nominated for 1 Primetime Emmy.
Another 9 wins & 5 nominations.

See more awards »",Not Major Role,TV Series                                     -                             43 min                 - Action|Crime|Drama,No Metacritic,5.4,"Walker, Texas Ranger",(1993–2001)
Josh Holloway,No Awards,Major Role,95 min                 - Crime|Thriller                 -              10 February 2001(USA),No Metacritic,5.3,Cold Heart,(2001)
Josh Holloway,"Nominated for 1 Primetime Emmy.
Another 12 wins & 42 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 44 min                 - Action|Drama|Fantasy,No Metacritic,8.0,Angel,(1999–2004)
